,Crime Category,Crime Notes
133,Other Theft,caller reports they got in taxi phone as they got to destination paid fare and taxi driver refused to give the phone back
134,Violent Crime,on date and at time stated officers on see a taxi parked up with on with a male to behind a large . officers drive police to where the taxi was parked and that there was inside the taxi . officers alight from vehicle and male is seen to walk from side of . male as the taxi driver and that he been .
135,Other Theft,comp is a taxi driver who collects 2 suspects . the suspects in the taxi for a journey that . the suspects then go into the address to get payment . suspects then refuse to come out and pay fare . police called and suspects arrested from the scene .
136,Other Theft,2 female suspects tell taxi driver they have to go into the house to get change to pay taxi . do not return to taxi . driver knocks on suspect 's door to gain .
137,Other Theft,victim leaves phone in taxi . friend rings taxi and asks him where he is . taxi driver then puts the phone down and the phone off . victim can not her phone .
138,Violent Crime,"between stated taxi driver and two females have an argument over a fare and paid for . during this one of the females makes a racial to the taxi driver causing , and . the matter is later to the police ."
139,Other Theft,"victim is a taxi driver who picks up a fare , drops the suspect at destination , suspect states they need to get cash from nearby cash machine , suspect and fails to return , victim call the suspect who is abusive on the phone"
140,Other Theft,"complainant was in drink and getting a taxi home , he was to get money out and the taxi driver asked for complainants phone which he to him . complainant tries again to get cash out and the taxi drives off with his phone ."
141,Criminal Damage,"the victim who was working as a taxi driver in leeds city centre and between times stated was parked on call lane , when a male got into the back of the taxi , male becomes abusive and the window of the taxi , police are called and he is arrested ."
142,Criminal Damage,"complainant is taxi driver at work when suspect approaches front nearside door . when to go to front taxi , suspect becomes abusive and and pulls at window causing same to smash . suspect walks off on foot and is by complainant to officers at scene ."
143,Violent Crime,"the complainant is a taxi driver who picked up passengers . one of the passenger is drunk and becomes abusive towards the complainant and calls him a paki bastard . the complainant is with racist and pulls up at the asking all the passenger to leave his taxi . other passengers are about their behaviour . the suspect continues to be racist calling the complainant a and . he then threatens to assault the complainant , who is still sat in his taxi . the suspect then leans in through the open front passenger window , calls the complainant a paki bastard and spits in his face , there by him . the suspect is then pull back by his friends and the complainant driver drives off ."
144,Violent Crime,"victim is a taxi driver and collects fare , victim takes suspect to location where he shouts and at the victim , victim is in fear that he would be assaulted ."
145,Other Theft,"comp is a taxi driver and has 3 female suspect passengers in vehicle , one of the suspect is sick in the vehicle . on arrival at locus suspects make off without paying for fare or damage for being sick ."
146,Other Theft,"victim gets in a taxi at call lane to home address . gets out to use atm on route and then in the taxi . victim believes that the taxi driver has phone from back seat while he went to use atm , and then made off with same ."
147,Other Theft,handbag has been left in taxi . taxi driver says he know where the bag is .
148,Violent Crime,victim is a taxi driver . suspect enters vehicle as a fare but both parties get into a dispute over the fare by victim . suspect victim to back of the head once causing no injuries . staff on the doors outside the club get involved as taxi driver who then down police
149,Other Theft,"victim is a taxi driver and collects 2 females and 3 males from outside the black in , who request taxi from mobile . the 2 females are dropped off in with the 3 suspects being taken to the car park in seacroft . 3 suspects exit the vehicle and then make off from taxi driver without making any to pay the ."
150,Criminal Damage,at time and date stated taxi driver collects suspect on street after he has them . driver asks suspect for the fare before they and suspect refuses . suspect that driver takes him before payment and he becomes angry and from inside the car . suspect gets out of vehicle and kicks out at it driver who is leaves and arrival of police .
151,Other Theft,"victim is taxi driver and he collects 5 males and drives them to their destination . at this point , victim notices one of the males has several times in the back of the car . when the victim them , one of the suspects the taxi meter out of the taxi while another punches the victim to the head several times . the first suspect then punches the victim while the second suspect change and the rear view mirror from the car . all 5 make off on foot with meter , money and mirror . victim minor injuries"
152,Violent Crime,"victim is taxi driver and he collects 5 males and drives them to their destination . at this point , victim notices one of the males has several times in the back of the car . when the victim them , one of the suspects the taxi meter out of the taxi while another punches the victim to the head several times . the first suspect then punches the victim while the second suspect change and the rear view mirror from the car . all 5 make off on foot with meter , money and mirror . victim minor injuries ."
153,Violent Crime,"victim is a taxi driver working . victim is a . times stated between and victim parked up on boar lane just outside the in the taxi . three suspects the vehicle and victim they need to get into the taxi at the front of the . suspect then become verbally abusive calling victim a also stating out of , this is . they all left the taxi but one of the males to the rear window of the vehicle . the victim then left the vehicle to see the damage and was then by being punched and kicked by both males . victim gets into taxi and drives off for his own safety ."
154,Violent Crime,"comp is a taxi driver with the area . comp picks the up in town centre to take her to , during the journey stated that she did no have money and that she would pay the driver when she got home , comp agreed to this and the journey continued . upon locus the gets out of the taxi and does not make any payment for the fare . the comp follows the and whilst doing so contacts police . during this time the is racially abuse to the the comp calling him a ' and and at the time of this the comp punches the comp to his chest , no injury caused ."
155,Other Theft,victim is on duty taxi driver and a call from a public house to pick up female ( suspect ) . victim asks for payment up front however suspect refuses to do so and asks to go to an address . when suspect sees address she states that address is and gives address of drive . victim drives to location and suspect leaves vehicle without paying for . suspect then enters house and victim calls police .
156,Violent Crime,"comp is taxi driver on duty . comp picks up fare of males . when at destination 5 males get out of vehicle , leaving front seat passenger in car . one of rear passengers driver door and mobile phone of comp , comp takes phone back and door . same male kicks door causing dent and . comp drives off and while calling police passenger punches him to lip and arm . comp stops vehicle and suspect makes off , fare of ."
157,Other Theft,complainant is a taxi driver and collects a female passenger and takes her to a address . female suspect leaves taxi her money was inside her address . once inside the house the female suspect the door and does not to and refuses to pay the taxi fare .
158,Violent Crime,"the victim is a taxi driver who attends address to pick up male and female . male attempts to enter vehicle with glass bottle , driver that the bottle is not in his vehicle . both male and female become abusive so driver tells them he is not to them and asks them to alight the vehicle . female then slaps the victim to the face before the vehicle ."
159,Violent Crime,the complainant is a private hire taxi driver . between time stated the comp picks up the suspect and her friend on a city centre street . they to be dropped of at 2 location in the city . the taxi driver drops the first female off who gives the suspect a for her of the fare . the driver asks for this money up front but the suspect refuses . an argument and the suspect called the taxi driver a paki and a paki bastard which the taxi driver found racially . have on the call .
160,Theft From Motor Vehicle,comp is a taxi driver who has taken a fare to an area of beeston . female is in rear of taxi and male is in front passenger seat . female states she can not open her door get out . taxi driver gets out of the cab and attends at the rear drivers door and opens it for the female . comp has his mobile phone in the centre console of the taxi . male and female leave taxi and they are going to get some money . male and female enter a . comp waits minutes with no return . comp from his location and drives to other side of street leaving house . comp for mobile and can not find it so his office who call the police .
161,Violent Crime,"the victim a taxi driver has been via to pick up a fare on boar lane outside mcdonalds in the name of . the driver has picked up 1 female and 3 males . taxi driver has requested money up front and they have had a dispute . the taxi driver has pulled up outside on boar lane and to get out of the taxi . the passengers have got out of the taxi , the driver , punched him and the driver . they have then his from within the taxi and made off on foot"
162,Robbery,"victim is a black and white taxi driver waiting for a fare at leeds city train station 's taxi rank . suspect gets in to his cab and asks to be taken to address . he asks the driver to stop on the and states he will get out to pay . he walks round to the drivers door where he has put his window down to take payment . suspect at him with a knife he has from inside his and shouts all of the money out . ' victim grabs the knife , to his and swelling to his . suspect punches him to his left causing further swelling . victim takes the knife from the suspect and opens his car door . witness contacts police and suspect makes off on foot ."
163,Other Theft,victim is taxi driver and takes suspect to an address . upon arrival suspect exits vehicle and fails to make payment for journey .
164,Other Theft,complainant leaves phone in taxi from unknown company while he goes inside to get money . once caller is inside the taxi driver drives away with complainants phone .
165,Other Theft,victim left mobile phone in taxi . taxi driver has that he has the phone and agreed to return to victim . taxi driver has not so and is now calls from victim . suspect has made off with property .
166,Theft From Motor Vehicle,victim is taxi driver with mobile on front inside of cab . suspect/s remove mobile making off with same unseen .
167,Other Theft,"complainant taxi on in leeds city centre . she asks taxi driver if she can go to atm for money . she leaves her mobile for security . on returning to taxi , taxi driver drives off with her mobile leaving her and friend on street ."
168,Violent Crime,at times stated complainant who is a taxi driver is flagged down by an unknown male in the road . suspect asks to be taken to but the complainant refuses . suspect/s then kick the taxi causing no damage and the complainant gets out to take a on his mobile phone . on doing so one of the suspects punches the complainant to the left cheek causing a 1 cut under the left eye . suspects then make off on foot .
169,Violent Crime,victim is taxi driver and 3 male suspects enter taxi and victim takes them to various and then returns suspects to their pick up point . victim asks for payment at which point suspect 1 throws drink in victims face and suspect 2 throws one punch hitting victim in left side of cheek causing no visible injury . suspect 3 opens boot of vehicle and victim drives away and reports offence .
170,Other Theft,"victims taxi from leeds city centre to locus , as he has no money the taxi driver his phone , when they arrive at locus money is with the driver , but the driver the phone and leave scene with same ."
171,Fraud & Forgery,between times date and location stated . the victim is a taxi driver and a call to pick up a passenger from a hotel in . suspect states to the victim that he will pay the victim when he arrives in leeds and until that time the driver can hold onto the phone . suspect is then taken to a location where he tells the driver to stop . the suspect then tells the victim that he needs his phone to call his friend to the money out . the victim gives him the phone back . at this point the suspects gets out of the vehicle and makes good his escape failing to make payment for the service .
172,Violent Crime,at the time and on the date stated the complainant and the witness a taxi with the suspect who is the taxi driver . the complainant hands the taxi driver his mobile phone as a . on arrival the witness gets out of the taxi and the complainant with the suspect over the fare and demands his phone back . the complainant then reaches into the front of the taxi to his phone and the suspect the complainants hand with a unseen causing the complainant a 3 cut to his right hand . the complainant then out of the taxi and the suspect drives off and out of the complainant and witnesses .
173,Violent Crime,victim is a taxi driver . at time and date stated victim drops off fare on near to number an argument ensues between the victim and the passengers over the taxi driver over . the passengers pay of the fare and state that they will go inside and get some more money . the taxi driver agrees and the leave the taxi and go inside the house . an unknown male from the street then approaches the taxi and punches him to the right side of his face through his open driver side window causing no injury . the male then makes off . the taxi driver then calls the police .
174,Other Theft,victim is getting into taxi in town location . taxi driver asks for that he has the money to pay for the taxi . victim gets money out of wallet and the taxi driver . male money out of victims hand and runs off making good his escape .
175,Violent Crime,aggrieved is a taxi driver who has just collected the 4 male suspects . route to the suspects who were drunk aggressive and stating they would not pay the fare . the aggrieved stopped the vehicle at which point 1 of the suspects in the rear seat has punched the aggrieved once to the face causing no visible injuries . the aggrieved has the vehicle and continued to argue with the suspects about not paying the fare . the suspect that hits the aggrieved becomes aggressive again at which point the driver makes off . suspects then enter the vehicle and remove the before making off .
176,Other Theft,complainant is in drink and exits taxi . taxi driver him to and removes phone and wallet from pocket and makes off in vehicle same .
177,Other Theft,caller is a taxi driver and picks up a fare and upon their destination the suspects exit the vehicle making off on foot and making no attempt to pay the taxi fare .
178,Violent Crime,"comp is a taxi driver who picks up a fare from and drives her and a male who was in rear of taxi , comp male to wait until he got home to food as he was it over the seat , male verbally abusive saying my , the fuck up , where are you from ? , , i , i smash your car up . comp stopped his car and asked the passengers to leave , female got out but unknown male in car and further verbally comp saying where are you from ? , , you not from you fucking paki suspect then gets out of car and walks around to driver side and kicks the car 4 or 5 times causing no damage , comp gets out of taxi to for damage and is approached by suspect who punches him to the left cheek and kicks him to the left before making off on foot ."
179,Criminal Damage,complainant is a private hire taxi driver . during times stated suspect is a passenger in the taxi and the taxi driver to a . on the suspect becomes agitated and punches the front windscreen from inside the vehicle causing the glass to . suspect exits the vehicle and is by a second suspect who throws an unknown towards the taxi causing the rear passenger window to smash . suspects make off into . complainant leaves and reports matter to the police .
180,Other Theft,"suspect and friend have been in a taxi . whilst driving the suspect two friends he , the taxi driver down so the suspect can speak to them . after a short time , they continue the journey . the taxi driver stops the vehicle and the suspect pays the fare and then asks for some change . the taxi driver gets his money bag out . the suspect then the bag and runs away ."
181,Criminal Damage,"locus is street in residential area . is a taxi driver who drops off fare at locus , the suspect alights the taxi without making payment so the aggrieved grabs bag to stop her from running away without making payment . male party suspect and both start to punch at aggrieved in the taxi causing no injury . male party causes damage to taxi by windscreen before both run away ."
182,Other Theft,"locus is street in residential area . is a taxi driver who drops off fare at locus , the suspect alights the taxi without making payment so the aggrieved grabs bag to stop her from running away without making payment . male party suspect and both start to punch at aggrieved in the taxi causing no injury . suspect makes off on foot making no payment ."
183,Violent Crime,"locus is street in residential area . is a taxi driver who drops off fare at locus , the suspect alights the taxi without making payment so the aggrieved grabs bag to stop her from running away without making payment . male party suspect and both start to punch at aggrieved in the taxi causing no injury . male party causes damage to taxi by windscreen before both run away ."
184,Other Theft,the complainant is a taxi driver who picks the suspect up from outside the night club in . the complainant drives the suspect into leeds and then asks for the fare so which was . the suspect then becomes aggressive and starts to at the complainant . at this point the suspect has punched the taxi driver in his left shoulder but any injuries . the complainant has then driven to the police station ( ) and the suspect alights and makes off without payment . the complainant follows the suspect but when it becomes that police are not attending he gives up and drives back to .
185,Violent Crime,the complainant is a taxi driver who picks the suspect up from outside the night club in . the complainant drives the suspect into leeds and then asks for the fare so which was . the suspect then becomes aggressive and starts to at the complainant . at this point the suspect has punched the taxi driver in his left shoulder but any injuries . the complainant has then driven to the police station ( ) and the suspect alights and makes off without payment . the complainant follows the suspect but when it becomes that police are not attending he gives up and drives back to .
186,Violent Crime,"the victim is a private hire taxi driver for amber cars . he collected a fare ( 3 unknown white males one of was in a ) from an address of park , armley , leeds . the three males him to stop at an address nearby to collect a then on to lane , armley . the driver got out when he got out to the front seat passenger in the from the boot , and as he turned to go and get back in his car he was punched in the right eye by one of the and to the floor . once on the floor he was kicked and punched about the and head by at two of the suspects . the victim from the scene , but back to see the male that had punched him in to the taxi and his ( around ) . the victim all the way back to his base , and returned around 15 minutes later to find his car still on the road , with all the doors left open ."
187,Other Theft,at time date location victim who is a taxi driver is waiting to pick up a fare . suspect who is customer gets in vehicle and the waiting . verbal argument takes place and suspect becomes abusive . suspect calls victim an bastard and a black bastard and leaves the taxi . victim calls who tell him to wait at locus . suspect takes another taxi and leaves location . victim waits at locus and a of on the meter . victim calls police due to is over being called racial .
188,Violent Crime,at time date location victim who is a taxi driver is waiting to pick up a fare . suspect who is customer gets in vehicle and the waiting . verbal argument takes place and suspect becomes abusive . suspect calls victim an bastard and a black bastard and leaves the taxi . victim calls who tell him to wait at locus . suspect takes another taxi and leaves location . victim waits at locus and a of on the meter . victim calls police due to is over being called racial .
189,Violent Crime,victim is working as a taxi driver and on dates and times stated victim is at work when he collects the suspect and witness after the suspect a taxi . whilst on the journey the victim and suspect begin having a when the suspect becomes angry and puts his arm around the victims neck him in a whilst the is in . the suspect then puts his left hand over the victims mouth . the victim stops the taxi and . both then alight from the taxi and begin to argue . the female passenger and the down . the victim is paid his fare and leaves the suspect and witness on the street .
190,Violent Crime,comp gets into taxi with her friends and ask to go to a destination . suspect taxi driver becomes and abusive as he could not destination . pulls over vehicle to route . suspect vehicle and fare is paid . comp eventually gets out of vehicle with friends and suspect continues to shout abuse which has and comp
191,Other Theft,"suspect ( s ) are picked up by taxi driver who is the victim , suspect ask to be taken to a street an once there run off from the vehicle without paying for the fare . victim calls police ."
192,Violent Crime,"victim and suspects are between times stated the victim along with friends get into taxi , taxi driver is that he has had to wait for victim and tells victim and friends to get out , taxi driver leans over and pushes the victim on her shoulder as she is vehicle"
193,Other Theft,victim is taxi driver and picks up fare in . drops 1 person off on route then drops 2 off in leeds . 2 make off on foot making no attempt to pay .
194,Other Theft,"complainant leaves mobile phone in taxi for security whilst he went to cash from address , on return taxi driver as made off , no details of the taxi are"
195,Violent Crime,between times stated victim who is taxi driver has dispute with suspect who is fare to put his on . suspect spits at victim and victim pulls over to call police . suspect alights vehicle and remains at scene for police arrival .
196,Other Theft,"the victim is in a taxi , he asks the suspect who is the taxi driver to stop at the petrol station . the suspect pulls the vehicle over so the victim gets out and goes to collect cash . whilst the victim is out of the vehicle the suspect notices the victim has left his phone in the taxi and makes off with same making no attempt to return the phone ."
197,Violent Crime,"suspects approach taxi driver and taxi and ask if they can get a , the taxi driver has got a fare so refuses , suspect 1 then kicks the rear of a taxi , the driver gets out and suspect shouts back to your fucking own , suspects then approach victim in aggressive , the suspect then at the victim which on victims face , suspect 2 has then to victim , as victim turns round suspect 2 has a punch and hit victim to left of , the other suspect has then victim to the face again , before returning to his vehicle and police"
198,Other Theft,the victim is a taxi driver who picks the suspect up from the city centre . the suspect asks to be taken to an address and once at the address he asks to be taken to another address . he then walks out of the taxi into a house and does n't pay the fare .
199,Violent Crime,victim is a taxi driver and picks suspect 1 up for a fare and drops him at locus . suspect 1 says he will go in the house to get some money and victim asks him to leave his phone but suspect 1 refuses . male 2 then comes out of the house and male 1 gets out of the taxi and they both go back inside the house . victim goes the door and male 2 opens the and says . victim asks for his fare suspect 2 is in the house any money and suspect 2 punches victim once in the face . victim has a cheek and swelling .
200,Other Theft,"was in the taxi outside his house , did not have enough money to pay fare , he then his to the driver , and driver told him this was not enough so the his watch to taxi driver to wait until he went inside to get money . taxi driver drove off with the watch and left the on his and did not wait for the fare ."
201,Other Theft,victim phone and other property in taxi . other property found and handed in to police station . phone not handed in or found . victim believes by has with taxi driver making off with same unseen .
202,Other Theft,caller leaves phone with taxi driver as security whilst he goes to get money for the fare . as he leaves the car the taxi drives off with the phone .
203,Other Theft,complainant gives mobile phone to taxi driver whilst he gets out of taxi for a . taxi makes off with mobile phone .
204,Other Theft,"victim gets into unknown taxi off the street , goes to atm , victim tries to cash , cash is n't out so goes to another atm around the , on returning , taxi drives off . victim and has been . believed taxi driver reaches over to atm and takes money when ."
205,Violent Crime,comp is taxi driver who collects suspect as fare . upon of journey a dispute over cost of fare . suspect slaps comp once to right side of face but leaves no . suspect then pays comp .
206,Other Theft,"victim was in a taxi unknown taxi company , she got out of the taxi made them she was her some money , left the taxi door open and taxi driver drove off to unknown direction with property"
207,Violent Crime,"between times stated , complainant has been in a taxi with 4 friends returning to his house following a night out in leeds city centre . the taxi driver requested the of upfront payment and he has been given . whilst travelling towards the complainant notices there is no meter in the taxi and the taxi driver about this . the taxi driver stops the car on lane and tells to get out . the complainant remains in the taxi and requests his money back . the taxi driver then drives off with the complainant still in the taxi and after a few minutes stops in a street behind . the taxi driver does not stop the taxi but down and tells the complainant to get out . the complainant out of the taxi and his right . the taxi driver turns his car round and up and exits with what the complainant believes is a and starts walking towards the complainant in an aggressive the at him . the complainant that he is going to be assaulted and runs away ."
208,Violent Crime,"victim is a taxi driver and attends at locus to collect unknown suspect who had the firm via a number . the victim requests payment from the suspect first , this the suspect resulting in him punching the victim to the right eye causing . the suspect then makes off in unknown direction ."
209,Violent Crime,"females ring for a taxi , leave the pub , approach a waiting taxi and ask if it was for them , driver states that it is . 5 into journey females it was not the taxi firm they had . taxi driver becomes abusive and threatens the females i you , you"
210,Violent Crime,"between times stated the victim gets in a pre booked taxi the in leeds city centre , whilst in the taxi the victim is sick out the window . the taxi driver ( suspect ) continues to drive the victim home and stops at the of the victims street and demands his fare , the victim states she will pay when he pulls her . an argument ensues , the suspect gets out of the taxi and goes to the rear nearside door where the victim is , the suspect opens the door and grabs hold of the victims handbag which she is on her . a of ensues , as a the victim has to get out of the taxi to hold onto her bag . some items of her property fall out of the bag on to the floor and the suspect hits her several times to her left arm causing no visible injury . the victim go of the bag and the suspect throws it into the taxi and back in . the victim reaches in the open front passenger window to her bag whilst the suspect is through it . suspect then throws the bag out of the window at the suspect before driving away . believed to be by two of the public walking . the victim makes her way home and calls the taxi company to . all items cash were for in her bag ."
211,Criminal Damage,suspect is passenger in a taxi . the suspect becomes involved in a verbal with the driver over unknown . during argument the suspect punches the between driver and passenger causing it to . the car is stopped and the passenger gets out in company with female . taxi driver calls for police .
212,Violent Crime,"complainant is taxi driver and works for cars of armley leeds . attends outside to collect a pre-booked fare . whilst waiting 3 suspects enter taxi and to be taken to . this is refused and suspects become verbally abusive to complainant , this to suspects calling him a bastard∂® and with racial abuse . complainant reaches front seat passenger to open door so they can get out and he is punched to the rear of the head by rear nearside passenger . as all parties get out of the vehicle is further punched to left eye by same suspect causing swelling and"
213,Criminal Damage,at time stated suspect is in drink and following taxi home becomes taxi driver kicking and punching vehicle and causing damage to windscreen .
214,Other Theft,suspect is collected from avenue and requests the taxi driver to drop him off at park . police attempt to pull over taxi outside park pub and when doing so the male suspect exits the taxi and runs off from the police and in doing so leaves the taxi without paying the fare .
215,Criminal Damage,"suspect/s were having a in the car asked taxi driver to stop the car , suspect get out of the car and hit the window with a bottle causing to windscreen"
216,Robbery,at times stated complainant is working as a taxi driver and picks suspect from address . the complainant then drives suspect to locus at which point the suspect demands that the complainant gives him and a to his neck . the complainant to a and tells him he is being . the suspect then leaves the vehicle without any property and is arrested by police nearby .
217,Violent Crime,"victim is an male who is working as a taxi driver . victim has taken a fare from leeds to seacroft , three white males . during the journey the taxi driver has asked for payment up front . the passengers have refused and to racially abuse the victim by calling him a paki bastard and that he of paki . suspects are being a in the taxi . the victim has been by this and by the made by his passengers and racially . the victim has dropped the three males off at mcdonalds york road seacroft . victim has seen a police car and followed officers to car park where he as this to officers ."
218,Other Theft,"complainant is working as a taxi driver and picks up three males . he drives them to a destination where one of them alights from the vehicle , the two then the complainant they need to go to a cash machine . he takes them to a cash machine and one male gets out of the vehicle , the second males him after around a . both males at the cash machine for a of minutes before to run off having made no attempt at payment for the journey ."
219,Violent Crime,"victim and suspect are taxi driver and customer , victim picks suspect up to transport him to his destination , whilst , suspect victim calling him a fucking bastard and several times and then to calling victim a paki . suspect is then from vehicle , and victim continues on , victim is then later by suspect in suspects friends vehicle ."
220,Other Theft,victim is asked for his mobile phone by the taxi driver while the victim goes to the cash point . the taxi drives away while the victim is still at the
221,Violent Crime,"victim is taxi driver who collects fair from rank , victim request and is given same , suspect who is passenger in vehicle becomes abusive and aggressive , suspect is requested to and is from vehicle by victim who on back in drivers seat is with unknown to right side of face causing a to cheek , suspect then makes off on foot and victim and suspect before of and suspect go . suspect again runs off and approached police to have been assaulted by driver . once are suspect arrested ."
222,Violent Crime,at time stated complainant is a taxi driver taking three unknown female suspects home . when complainant arrives at locus suspects make off from taxi but one female is detained by complainant her handbag . suspect kicks complainant in the before making of without her handbag .
223,Criminal Damage,"between times and date stated , aggrieved who is a private hire taxi driver is waiting for his fare to come out of mcdonalds at said location . whilst waiting two males approach the taxi and ask the aggrieved to take them home . aggrieved as he has a fare . males then become aggressive and shout abuse at the aggrieved and then kick his wing mirror off on the front passenger door . males then make good their escape and out of ."
224,Violent Crime,"complainant is a taxi driver and whilst waiting for a pre booked fare in leeds , he is approached by a male female who to enter the taxi . the complainant explains that the taxi is booked the male suspect starts shouting at the complainant . complainant gets out of his taxi and the male him causing injuries to his nose and a black eye . male also throws a can of at the complainant . female shouts abuse at the complainant , then they both make off on foot ."
225,Other Theft,"victim who is a taxi driver picks up a fare from the public house on road , and is asked to go to , where one female alights . the passenger then asks to be taken to lane , and on arrival is asked for the fare she gets out stating victim will have to get the money from her in . the suspect then goes into 4 lane and does not come back out ."
226,Violent Crime,complainant is a taxi driver who picked up 3 males in bradford . he drove to where one of the males got out and paid the fare to . the other 2 males were taken to beeston where they refused to pay the of the fare . they got out of the taxi and went to the complainant 's door . they were going to pay he down the window . one of the males then him 3 times to the head before leaving .
227,Violent Crime,"at times stated victim is travelling home in taxi when they arrive at destination , the taxi driver ( suspect ) becomes agitated at victim for taking to pay for fare and to exit taxi make way to rear of taxi where victim is sat and to victim by her and her from the taxi . once victim is out of the taxi , the suspect drives away ."
228,Other Theft,"comp gets in taxi outside on his own agrees price of fare of , pays ∂ú20 to go to in taxi to further . upon at taxi driver asks comp to leave so that he run off , comp hands mobile phone to driver and gets out of taxi . as comp goes to taxi drives off with property . comp gives with no gain ."
229,Other Theft,the complainant is a taxi driver for hackney in city centre . at time stated the complainant has driven the suspect/s to an address at locus and requested the fare from them . suspects have refused to pay and off to a nearby address resulting in the police being called .
230,Other Theft,complainant and flat a taxi from street to locus . on taxi complainant leaves mobile phone in vehicle . taxi driver later contacts flat who is the and informs him that mobile phone had been found . suspect later this and fails to return property
231,Violent Crime,"the complainant in this crime is a taxi driver who at times stated attends locus to collect a fare . he asks for the money up front but the suspect only gives him fare . the complainant tells him is not with this and as he hands him back the fare , the suspect goes to out of the taxi . he then his right and the complainant to the right cheek causing a small . the suspect then gets out and the complainant drives away ."
232,Fraud & Forgery,victim who is leaves club . on leaving the club he gets into what he believes to be a taxi . he asks to go to his hotel and taxi goes not hotel complainant then asks taxi to take him home to . the driver agrees and takes complainant to unknown cash point to out some cash in the of . they then begin the journey at which point the taxi driver states it will cost more so again they attend unknown cash point and out around hands over money . the driver then asks the complainant to get out of the vehicle at near to the leeds city
233,Criminal Damage,"victim is a taxi driver on duty at the time of the offence . at times and dates stated victim picks up an fare , the two suspects , from call lane , leeds . the victim drives them to the flats , street , leeds . when victim arrives at the address with suspects , a verbal argument ensues between victim and suspects over the price of the fare . using , suspects punch a which is located behind the drivers seat causing the same to break . suspects get out of taxi in to the flat ."
234,Robbery,victim is a taxi driver . between times stated victim collected two passengers and them to their location . at the of the journey the female passenger was about to pay the fare but the male suspect told her not to and took the money from her . the victim in his car and asked the suspect if he would pay for the fare . the suspect then the drivers door of the taxi and ∂ú20 from the victim . the victim at which point the suspect up to the victim and said in a you i can hit you and take your money ' . the suspect then around the and the side door for money . the victim was in fear that he would be assaulted and that all his money would be stolen so he took ∂ú10 from his pocket and this to the suspect . the suspect took this money and then left and the taxi driver called the police . the suspect was located inside the address given to the victim as the drop off destination and the suspect was arrested
235,Other Theft,"victim and friends get in taxi , victim her bag on seat for money , victim leaves mobile phone on seat , victim and friends alight taxi , taxi starts to drive off , victim realises she has left phone in taxi , partner on window to driver , taxi driver drives off without ."
236,Criminal Damage,suspect has been in town and gets a taxi to the local petrol station . taxi driver refuses to take the suspect further and so suspect begins to shout . police speak to the suspect who then leaves before later returning . suspect begins on the window of the petrol station and is asked to be in . witness refuses and so the suspect kicks the glass in the door causing it to smash . suspect makes off on foot .
237,Other Theft,complainant is taxi driver and picks up suspect as customer . suspect does not pay fare and makes off .
238,Violent Crime,"victim is taxi driver who picks up suspect male from petrol station on road and drives suspect outside hill , leeds . once outside locus , suspect punches victim to head area with before suspect runs into hill and refuses to come outside , after victim waits for a short while outside address . victim rings police to report assault . no visible injuries ."
239,Violent Crime,complainant is a taxi driver who picks up the suspect who is his customer . the complainant and suspect in a regarding a and . an argument ensues before the suspect racially and the complainant . the complainant tells the suspect that his behaviour is out of order and tells him to stop but the suspect does not . the suspect then grabs the complainants left arm it into an arm and then punches the complainant to the back of the head causing no visible injuries . the suspect leaves the vehicle kicking it causing no damage and goes into an address . the complainant contacts the police .
240,Other Theft,complainant gets in a taxi with his friends . the taxi driver asks for money up front so complainant puts his phone on the front seat as security for payment . when they the destination they pay for the taxi and the complainant gets out of the back and walks to the front door to get his phone but the taxi drives off with the phone
241,Criminal Damage,"between times , victim who is a taxi driver has been to pick up four females from the , the suspects are three of the females . one of the females has sick her head out of the window , the taxi driver has pulled over asking the female to get out of the car to be sick . the suspects has told the female to get back into the car , the victim has refused this but has been to wait whilst the female is sick . the three suspects inside the car have become verbally abusive towards the victim , two of the females have then assaulted the victim by punching him to the head , and one of the suspects has picked up his mobile phone and it causing the to smash . the suspects have then the vehicle , one of the suspects has kicked the wing causing damage to same . all four females have made off towards road ."
242,Violent Crime,"between times , victim who is a taxi driver has been to pick up four females from the , the suspects are three of the females . one of the females has sick her head out of the window , the taxi driver has pulled over asking the female to get out of the car to be sick . the suspects has told the female to get back into the car , the victim has refused this but has been to wait whilst the female is sick . the three suspects inside the car have become verbally abusive towards the victim , two of the females have then assaulted the victim by punching him to the head , and one of the suspects has picked up his mobile phone and it causing the to smash . the suspects have then the vehicle , one of the suspects has kicked the wing causing damage to same . all four females have made off towards road ."
243,Other Theft,complainant and friend have been in taxi and left in vehicle whilst attending at food . taxi driver has driven away from area with property in taxi . contact with driver he would up with complainant and return said items . he is now refusing to return property .
244,Other Theft,complainant and friend have been in taxi and left in vehicle whilst attending at food . taxi driver has driven away from area with property in taxi . contact with driver he would up with complainant and return said items . he is now refusing to return property .
245,Other Theft,victim is a taxi driver who collects a fare . he takes them to the location requested and they get out of the vehicle and run away without making any attempts to pay the fare .
246,Other Theft,complainant leaves mobile phone in taxi . rings phone and taxi driver it and refuses to return phone so complainant of his phone .
247,Other Theft,at time stated complainant and friend got out of taxi at petrol station to use cash machine to get taxi fare . taxi driver made them leave property behind . once they got out of vehicle it drove off with their property
248,Other Theft,"comp is a taxi driver who works for leeds taxi , he dropped a fair off at avenue leeds on at . his passengers were two female who went into the address and said they would return with the fare . return and when the comp on the door"
